                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.87385,                0.39436,                0.80533,                0.96165,                0.95253,                 0.9797,                0.77663,                0.82227,                0.38607,                0.79525,               0.000944,               0.000944,               0.000944
                     82,                 0.8824,                0.39413,                0.80381,                0.97968,                0.94353,                0.98028,                0.75947,                0.86316,                0.38969,                0.79665,              0.0009308,              0.0009308,              0.0009308
                     83,                0.88225,                0.39292,                0.80165,                0.97803,                 0.9384,                0.97923,                0.73939,                0.89675,                0.39119,                0.79765,              0.0009176,              0.0009176,              0.0009176
                     84,                0.88393,                 0.3949,                0.80398,                0.97756,                0.93891,                0.97991,                0.78089,                0.81064,                0.38314,                0.79464,              0.0009044,              0.0009044,              0.0009044
                     85,                0.88318,                0.39571,                0.80369,                0.98742,                0.92684,                0.98085,                0.76618,                0.84693,                0.38996,                0.79481,              0.0008912,              0.0008912,              0.0008912
                     86,                0.85389,                0.38405,                0.80243,                0.97981,                0.93172,                0.97946,                0.75595,                0.88596,                0.39207,                0.79779,               0.000878,               0.000878,               0.000878
                     87,                0.86411,                0.38699,                0.80105,                0.97157,                 0.9384,                0.98168,                0.78045,                0.81914,                0.37216,                0.79477,              0.0008648,              0.0008648,              0.0008648
                     88,                0.89222,                0.39201,                0.80295,                0.98057,                0.93258,                0.98052,                0.77758,                0.81074,                0.38045,                0.79411,              0.0008516,              0.0008516,              0.0008516
                     89,                0.86014,                0.38708,                 0.8021,                0.97857,                0.94199,                 0.9801,                0.76583,                 0.8469,                0.37636,                0.79667,              0.0008384,              0.0008384,              0.0008384
                     90,                0.87208,                0.38793,                0.80244,                0.97554,                0.95534,                0.98103,                0.78125,                 0.7906,                0.36967,                0.79313,              0.0008252,              0.0008252,              0.0008252
                     91,                0.87485,                0.38923,                0.80315,                0.97799,                0.94713,                0.98006,                0.76764,                0.83365,                0.38131,                0.79448,               0.000812,               0.000812,               0.000812
                     92,                0.84556,                0.38132,                0.80067,                0.96408,                0.95226,                0.97903,                0.75203,                0.86445,                0.38859,                  0.795,              0.0007988,              0.0007988,              0.0007988
                     93,                0.86496,                0.38729,                0.80199,                0.97197,                0.94349,                0.98039,                0.76772,                0.86323,                0.39998,                0.79561,              0.0007856,              0.0007856,              0.0007856
                     94,                0.85724,                0.38467,                0.80099,                0.98083,                0.94547,                0.98105,                0.79159,                0.79012,                0.37699,                0.79244,              0.0007724,              0.0007724,              0.0007724
                     95,                0.85787,                0.38481,                0.80252,                0.97214,                0.95021,                0.98014,                0.78272,                0.79671,                0.36982,                0.79268,              0.0007592,              0.0007592,              0.0007592
                     96,                0.83363,                 0.3761,                 0.7985,                0.98076,                0.95123,                 0.9809,                0.79222,                0.77585,                0.36952,                0.79273,               0.000746,               0.000746,               0.000746
                     97,                0.83628,                 0.3789,                0.80246,                0.98176,                0.93994,                0.97855,                0.78973,                0.79376,                0.36935,                0.79284,              0.0007328,              0.0007328,              0.0007328
                     98,                0.84393,                0.38017,                0.80233,                0.97166,                0.95045,                0.98112,                0.77665,                0.80919,                0.37301,                0.79339,              0.0007196,              0.0007196,              0.0007196
                     99,                0.85536,                0.38598,                0.80103,                0.98794,                0.94045,                  0.979,                0.78362,                0.79616,                0.37353,                0.79307,              0.0007064,              0.0007064,              0.0007064
                    100,                0.82678,                0.37519,                0.79902,                0.98219,                0.94764,                 0.9816,                0.76832,                0.84328,                0.38363,                 0.7958,              0.0006932,              0.0006932,              0.0006932
                    101,                0.84776,                0.37975,                0.80097,                0.97936,                0.95534,                0.98003,                0.78639,                0.78211,                0.37148,                0.79288,                0.00068,                0.00068,                0.00068
                    102,                0.83427,                0.37717,                0.80064,                0.98145,                0.95063,                0.98008,                0.79471,                 0.7665,                0.36622,                 0.7919,              0.0006668,              0.0006668,              0.0006668
                    103,                0.84536,                0.37918,                 0.8019,                0.97518,                0.94813,                0.98012,                0.77953,                0.82236,                 0.3708,                0.79357,              0.0006536,              0.0006536,              0.0006536
                    104,                0.83669,                0.37599,                0.79913,                0.98266,                0.95072,                0.98019,                0.78573,                0.79849,                0.36929,                0.79234,              0.0006404,              0.0006404,              0.0006404
                    105,                0.86392,                0.38322,                0.80281,                0.98187,                0.94918,                0.98021,                0.79184,                0.77213,                0.36784,                0.79256,              0.0006272,              0.0006272,              0.0006272
                    106,                0.85056,                0.37795,                0.79909,                0.98558,                0.94867,                0.98143,                0.79413,                0.77005,                0.36545,                0.79144,               0.000614,               0.000614,               0.000614
