               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.030526,            0.018682,           0.0014652,             0.61327,             0.70736,             0.61794,             0.43739,            0.055194,            0.024864,           0.0092907,            0.003565,            0.003565,            0.003565
                  67,            0.029354,            0.016215,           0.0013432,             0.68608,             0.63995,             0.63667,             0.43905,            0.052985,            0.025386,            0.009194,            0.003466,            0.003466,            0.003466
                  68,            0.029911,            0.016715,           0.0016484,             0.70089,             0.65082,             0.64243,              0.4733,            0.053112,            0.026005,           0.0090252,            0.003367,            0.003367,            0.003367
                  69,            0.028094,            0.016343,            0.001296,             0.70183,             0.65082,             0.63603,             0.45847,            0.052502,             0.02596,           0.0091222,            0.003268,            0.003268,            0.003268
                  70,            0.027132,            0.016425,            0.001467,             0.67561,             0.68207,             0.62919,             0.44447,            0.053716,            0.025817,           0.0092828,            0.003169,            0.003169,            0.003169
                  71,            0.028029,            0.015379,           0.0015805,             0.64931,             0.67663,             0.62265,             0.44039,            0.052511,            0.025672,           0.0096132,             0.00307,             0.00307,             0.00307
                  72,            0.027073,            0.017152,           0.0015934,             0.61474,             0.69548,              0.6147,             0.41985,            0.053193,            0.026483,           0.0093714,            0.002971,            0.002971,            0.002971
                  73,            0.026627,            0.017477,            0.001433,             0.61489,             0.70312,             0.61135,             0.42679,            0.053975,            0.026113,             0.00968,            0.002872,            0.002872,            0.002872
                  74,            0.028381,            0.016775,           0.0011423,             0.70576,             0.64267,             0.62219,             0.41842,            0.052462,            0.027074,           0.0087753,            0.002773,            0.002773,            0.002773
                  75,            0.028029,            0.015603,           0.0012715,             0.66207,             0.66903,             0.61501,             0.44463,             0.05318,            0.027299,           0.0087245,            0.002674,            0.002674,            0.002674
                  76,            0.027495,            0.015379,           0.0014812,             0.68157,              0.6266,             0.60771,             0.41725,            0.052035,             0.02686,           0.0089095,            0.002575,            0.002575,            0.002575
                  77,            0.027148,            0.015121,           0.0010541,             0.69032,             0.64538,             0.60647,             0.42755,            0.053383,            0.026189,           0.0090934,            0.002476,            0.002476,            0.002476
                  78,            0.027288,            0.016596,           0.0010112,             0.70446,             0.64625,             0.61504,             0.42058,            0.051271,            0.026192,           0.0082781,            0.002377,            0.002377,            0.002377
                  79,            0.026485,            0.018779,           0.0012783,             0.70668,             0.66771,             0.60977,             0.44191,            0.050535,            0.025627,           0.0073949,            0.002278,            0.002278,            0.002278
                  80,            0.027108,            0.015681,           0.0012759,             0.70325,             0.68299,             0.63083,             0.43833,             0.04949,            0.025452,           0.0072684,            0.002179,            0.002179,            0.002179
                  81,            0.026244,            0.014017,            0.001069,             0.72663,             0.67188,             0.63717,             0.43371,            0.050422,            0.024958,           0.0075451,             0.00208,             0.00208,             0.00208
